,created_at,text,reply_count,retweet_count,favorite_count,topic
5149,Sun Oct 17 21:10:37 +0000 2021,"Scomo should dare Albo to support Nuclear Power. If Albo really believes in global warming, he has no option but to support clean, green and reliable nuclear energy. If he doesn't, he should resign. https://t.co/2Kvcw4yg9e",0,0,0,
596,Wed Feb 17 02:41:35 +0000 2021,"Jesus, they are so obviously in the pockets of big energy. Most Republicans even agree with climate change at this point and support renewable resources https://t.co/tXhtqCwHD7",0,0,0,
1452,Mon Feb 22 06:10:47 +0000 2021,"Last week, in a much trumpeted announcement, the Daily Express broke with decades of climate denial and called for a “green revolution” to tackle the climate crisis. Many commentators rushed to marvel at the apparent transformation.

https://t.co/8Es1OWfwDk https://t.co/i3TnvAca4b",0,0,0,
3055,Tue Jul 13 22:34:16 +0000 2021,NZ imported more than a million tonnes of 'dirty' coal last year https://t.co/suAGLbVxeM,0,0,0,
5490,Sat Nov 06 12:12:03 +0000 2021,"This month, discover the Climate Change Issue of The Scots Magazine! ⠀⠀⠀
⠀⠀⠀
As talks at #COP26 are well underway in Glasgow, we take a look at Scotland's role in tackling the climate crisis.
⠀⠀⠀
Discover more and purchase your copy today: https://t.co/gvGB4xLoTT https://t.co/ixgSVwGIdQ",1,3,17,
4248,Wed Sep 01 09:34:08 +0000 2021,National TV news is beginning to connect climate change to extreme weather. Now they must continue to deepen their coverage https://t.co/sIqkFJoG1U,0,0,0,
5887,Mon Dec 06 19:53:24 +0000 2021,The weather's good there in the fall...  Alberta bound? Only half of Canadians say they'd feel comfortable making the move | CBC News https://t.co/1RwxIe1aNp,0,0,0,
1807,Wed Apr 07 07:53:56 +0000 2021,"How the headline should have read:
“Great news, almost 75% of Britons are willing to change key habits that would help tackle climate change”. https://t.co/JOLH6XTgSG",0,0,0,
3150,Tue Jul 13 22:20:23 +0000 2021,"Today I especially think of my Myanmar friends. It was so peaceful back then. I can’t imagine your plight, I am challenged to find a solution. It’s a “wicked” problem. If I could solve it I could solve climate change. @MyanmarGuide @Myanmar_Now_Eng @TheMyanmarTimes https://t.co/O8qA8tKiNH",0,0,0,
885,Thu Jan 28 04:11:04 +0000 2021,There is no climate crisis.,4,6,75,
1321,Sun Jan 31 04:32:20 +0000 2021,Blackpink said climate change?,1,0,2,
3390,Tue Jul 13 22:28:46 +0000 2021,That's because of climate change 🤣🤣 https://t.co/q9dUutBbyS,0,0,0,
5069,Sun Oct 17 21:23:03 +0000 2021,"#ClimateChange is due every  aggression we do to #nature https://t.co/0633t9Kd8M #ClimateEmergency #ClimateCrisis #ClimateAction 
Is Sucking Carbon Out of the Air the Solution to Our Climate Crisis? https://t.co/evXKsn5hvF",0,1,1,
3615,Tue Aug 31 00:35:34 +0000 2021,👋 @POTUS @JohnKerry it’s time to usher in a new era of US climate action. We’re counting on you to 1) help poorer nations fight climate change by investing $40 billion per year in global support and 2) cut domestic emissions by 57-63% by 2030. Are you up for the challenge?,0,0,0,
4195,Wed Sep 01 09:42:27 +0000 2021,Covid in Scotland: Record number of cases as NHS faces 'perfect storm'https://t.co/QVW4roBX9r&gt;Climate change: Big increase in weather disasters over the past five decades https://t.co/oNBx0u2q5L,0,0,0,
4859,Wed Oct 20 21:14:17 +0000 2021,"#ParrotsAtoZ B is for black-billed parrot (Amazona agilis), aka black-billed amazon, endemic to Jamaica. Endangered due to habitat destruction for bauxite mining, introduced predators, and climate change. Pic at Hope Gardens, Kingston, by Noreen Baker https://t.co/msWil5q59t https://t.co/03G69deQ2m",1,9,92,
5487,Sat Nov 06 12:12:15 +0000 2021,"Attention Stubborn Optimists! 🔥🔥🔥
You can now discover the stories behind the headlines on climate change—15 min at a time on our new Shortcast with Blinkist! 
Please share or find us on the Blinkist app ⬇️ https://t.co/Td4sjpmBBo

@tomcarnac @CFigueres @PaulOutrageAnd https://t.co/h4kcWIjZDD",0,1,5,
1015,Thu Jan 28 03:51:52 +0000 2021,Covid is over. But also climate change is a hoax. https://t.co/eEnMwureDf,0,0,1,
166,Fri Jan 01 00:27:02 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/dydxVpDMbq,0,0,2,
1718,Fri Mar 26 06:10:12 +0000 2021,Turns out climate change is due to over fishing the oceans #wokeking,1,0,0,
3562,Tue Aug 31 00:43:08 +0000 2021,"This is a reality for many in Canada and the US today, not some day in the future. Life may never be the same in many regions with drought, the threat of wildfires, extreme heat, cold, and other weather events. People are on the move.

#ClimateCrisis

https://t.co/PKMenGoX8E",0,2,3,
5341,Sat Nov 06 12:21:45 +0000 2021,"Yesterday, I suddenly met a friend Melody &amp; during our talk she mentioned about a workshops on discover the science behind the IPCC report in a collaborative, fun and imaginative climate collage. I think it's a great initiative to educate people about climate change in a fun way. https://t.co/TWxWnClbLk",0,1,2,
3619,Tue Aug 31 00:35:03 +0000 2021,"""Dangerous climate change is here..."" @MichaelEMann 

Unfortunately,  Australia government haven't learnt from devastating bushfires....
Plan? Blue hydrogen, gas-led recovery, #climatebrawl
""thoughts and prayers"".
Reality chk: we're on same planet? 
#ClimateEmergency https://t.co/sbkdBYBMRu",0,1,3,
2714,Sun Jun 06 13:47:15 +0000 2021,"Boris Johnson, your climate change scorecard is ready via @greenpeaceuk https://t.co/XBHA3ktOFr",0,0,0,
866,Thu Jan 28 04:13:14 +0000 2021,Biden’s New Executive Orders Take Aim At Climate Change https://t.co/7OwBRkc1YK,0,0,0,
1298,Sun Jan 31 04:32:53 +0000 2021,"Climate change affects us all 

#THESHOWToday",0,0,0,
4364,Wed Sep 01 09:20:04 +0000 2021,"Thoughts and prayers ain't going to do shit when you know very well that your existence is the reason for the hurricanes in the 1st place. Instead of spending tons of money lying to the public and blocking any legitimate actions again climate change, you could just dismantle https://t.co/vbpWxYrsgA",0,0,1,
5823,Mon Nov 29 15:21:56 +0000 2021,Can New York Really Get to 100% Clean Energy by 2040? https://t.co/ntZpi0BdyJ,0,0,1,
5630,Mon Nov 29 15:46:55 +0000 2021,"Since our politicians are owned by the fossil fuel industry, insurance companies are our most effective tool to force action on climate change. Watch @hotmoneyfilm to learn more about how climate change affects insurance and financial markets.    https://t.co/1cqsc5pda9",0,8,16,
4074,Sun Aug 08 23:58:17 +0000 2021,"The persons who Recently purchased this castle on Martha's Vineyard certainly are NOT concerned with ""Global Warming, Oceans Rising""
#GlobalWarming https://t.co/ZCAfNHBO7L",0,0,0,
5285,Sun Oct 17 20:56:02 +0000 2021,"Malcolm Turnbull on Murdoch, lies and the climate crisis: ‘The same forces that enabled Trump are at work in Australia’
https://t.co/Pv4gU42kzC",1,0,2,
555,Wed Feb 17 02:44:53 +0000 2021,"""...it is clear that global warming poses a barrage of additional threats to power systems nationwide, including fiercer heat waves and water shortages."" @nytclimate
@nytimes

A Glimpse of America’s #Future: Climate Change Means Trouble for Power Grids https://t.co/mfp8bPvePF",0,0,0,
2502,Sun Jun 06 13:37:32 +0000 2021,Fed chair Powell warns of 'profound challenges' posed by climate change - CNN International https://t.co/OlkQdrkr6t,0,0,0,
3217,Tue Jul 13 22:56:10 +0000 2021,"The creation of @Blklivesmatter marked the start to our activism. From #Charlottesville to #GeorgeFloyd to supporting #Progressives to supporting intersectional causes like climate change / gun violence to showing our support on the job / at home, this is our #BLMAnniversary... https://t.co/femUg5Q2jj",0,1,1,
1345,Sun Jan 31 04:31:51 +0000 2021,BLACKPINK CLIMATE CHANGE MOVEMENT https://t.co/rhGolkzBku,0,4,20,
3270,Tue Jul 13 22:46:37 +0000 2021,Anything less than a very strong Green New Deal is minimizing the scale of the climate crisis &amp; doesn’t think it’s an existential crisis. #GreenNewDealNow,0,0,0,
3458,Tue Jul 13 22:19:16 +0000 2021,Pascal's wager but for climate change https://t.co/dJymbzzU4q,3,4,51,
2609,Sun Jun 06 13:13:07 +0000 2021,"How can climate alarmists explain away ancient megadroughts? They can’t: By John Eidson - As reported by Fox News, a 2015 study published in the journal Nature Climate Change compared 117 computer model projections during the 1990s with the amount of… https://t.co/KT7YEzYucQ https://t.co/7Y0otYcZDC",0,1,0,
291,Tue Jan 19 01:25:59 +0000 2021,Constraining human contributions to observed warming since the pre-industrial period | Nature Climate Change https://t.co/fljB3asWcr,0,0,0,
4994,Sun Oct 17 21:32:17 +0000 2021,"#FossilFuels are killing us
However this melting is boosting #GlobalWarming https://t.co/UHxSxoon95 #ClimateCrisis #ClimateEmergency #ClimatePledge 
#ClimateChange Is Melting Russia’s Permafrost—and Challenging Its Oil Economy https://t.co/VeL0JUQxtH",0,0,0,
2487,Sun Jun 06 13:40:02 +0000 2021,New Study Blames Climate Change For 37% Of Global Heat Deaths - HuffPost https://t.co/P9lNkFhD6N,0,0,0,
