,created_at,text,reply_count,retweet_count,favorite_count
0,Fri Jan 15 23:58:59 +0000 2021,Critics denounce 'climate-change denialism' reports commissioned by Alberta inquiry  https://t.co/nouwpbomwt,0,0,0
1,Fri Jan 15 23:58:50 +0000 2021,Global warming is real people,0,0,0
2,Fri Jan 15 23:58:33 +0000 2021,"From melting ice caps to household laundry tabs, the trail of destruction of the environment is leading back to the machine washing of our man-made fibres. 

#climatechange #climateleadership 
https://t.co/lIHYaUio9w https://t.co/1O7U0878in",0,0,0
3,Fri Jan 15 23:58:23 +0000 2021,Anybody mentioning green pork in the context of global warming is lying,0,0,0
4,Fri Jan 15 23:58:01 +0000 2021,"Amazon recently bought the rights to make a Lord of the Rings prequel (hundreds of years before the Hobbit takes place) for $250M.

Yet the top 5 richest *countries* gave 20M to combat climate change..",0,1,1
5,Fri Jan 15 23:57:34 +0000 2021,"Rep. John Yarmuth (D-Ky.), chairman of the House Budget Committee said. 

""These rescissions are filled with damaging and irrational cuts to programs critical in the fight against COVID-19, climate change, and strengthening America's global leadership” https://t.co/n2QMiuxzul",1,7,10
6,Fri Jan 15 23:57:17 +0000 2021,blows my mind that people still don’t believe in climate change https://t.co/kN7UBfyLsm,0,0,0
7,Fri Jan 15 23:57:04 +0000 2021,what would 4°C of global warming feel like? https://t.co/7E2mRNWZlX,0,0,0
8,Fri Jan 15 23:56:34 +0000 2021,In the Globe and Mail: @IBMCanada President @ClaudeGuay on skill development to help face the #climatechange crisis https://t.co/UoWDOLNKRF,0,0,2
9,Fri Jan 15 23:55:46 +0000 2021,Hello eco-friendlies! Today we have everyone's favorite damaging company Starbucks using more than 4 MILLION plastic cups a year😷! You'll never guess that  climate change is a real thing!  Find out what else is swept underneath the rug!,0,0,0
10,Fri Jan 15 23:55:42 +0000 2021,"but global warming totally isnt real... even though in my 7 years being here the winters have gotten hotter EACH TIME. and rained less. EACH TIME.

but naaahhhh, screw the environment, right?

/s https://t.co/vzR45sQ4Ik",1,0,4
11,Fri Jan 15 23:55:26 +0000 2021,Looking forward to rewatching Lacey Chabert basic cable masterpiece Winter in Vail in a few years and thinking how the scene in the ski resort dates the film due to the minimum wage increase and not *checks notes* climate change. https://t.co/iSEq2Kj14n,0,1,3
12,Fri Jan 15 23:55:16 +0000 2021,"NASA drops an unsettling new video-we are responsible for massive disruption to our 🌎

We must turn this around🔄

Remember, there is no #Earth2 ⏰

#wtpEARTH
#wtpBLUE
#DemVoice1 https://t.co/FAaO6pPI3s",2,24,29
13,Fri Jan 15 23:55:10 +0000 2021,"Stop war, hate fear and control our greed so we all can help save home and grow bigger, in small enough to hold 10 times its seed population, a negative carbon to control climate change. There is no argument, just slavery. Some still don’t respect humans. Nazis, death warriors.🧛‍♂️",0,0,0
14,Fri Jan 15 23:54:55 +0000 2021,"climate change: *changes*

Greta Thunberg:  https://t.co/b3Xr0L76hW",0,7,32
15,Fri Jan 15 23:53:54 +0000 2021,"The foundation has further invested in the development and proliferation of “super crops” resistant to climate change and higher-yield dairy cows. In short GMO's.

America’s Biggest Owner Of Farmland Is Now Bill Gates via @forbes https://t.co/DSFr2clHm3",0,0,0
16,Fri Jan 15 23:52:21 +0000 2021,Fuckin weirdo searching for people to argue with over climate change lmao yesterday was literally record breaking,0,0,0
17,Fri Jan 15 23:52:01 +0000 2021,"Drought Of The Century In The Middle Ages:Parallels To Climate Change Today? 
https://t.co/N3MYBOJklG #climatechange",0,0,0
18,Fri Jan 15 23:51:56 +0000 2021,did you know that global warming is art,0,0,0
19,Fri Jan 15 23:50:55 +0000 2021,just found out about global warming  https://t.co/tCpJ6XJjMB,4,33,468
20,Fri Jan 15 23:50:52 +0000 2021,Lol this whole global warming thing ain’t so bad?,0,0,0
21,Fri Jan 15 23:50:42 +0000 2021,See @NOAA 2020 report and @inspectorplanet Instagram story comments regarding the 2020 temperature and climate change. https://t.co/eH3sC1aSlD,0,1,3
22,Fri Jan 15 23:50:26 +0000 2021,"Sovereign wealth funds
Central banks and climate change: all hot air
Saving the planet is easier to say than do. https://t.co/eSm3YlfQOz",0,0,1
23,Fri Jan 15 23:50:02 +0000 2021,"The #transportation sector is responsible for just under 37% of #emissions. The #industrial sector produces the second-most (over 28%), followed by the #residential sector (18.7%), and the #commercial sector (16.3%). @TaxFoundation: https://t.co/YRVZuBTxXT",0,1,1
24,Fri Jan 15 23:49:59 +0000 2021,Lying in bed listening to the rain wash away what little snow we had😭 global warming is a *bliiip bliiip bliiip* (censored for the sensitive ears in the front),0,0,1
25,Fri Jan 15 23:49:26 +0000 2021,Key role in future Climate Change talks new WH Scientific advisor https://t.co/OVwsACs4US,0,0,0
26,Fri Jan 15 23:49:17 +0000 2021,"Music to my ears compared to the climate change denying, religion-pretending Trump! https://t.co/I8hD4tqfcO",1,0,1
27,Fri Jan 15 23:49:17 +0000 2021,Why does this sound more end of the world than 30 years of global warming? https://t.co/c6ZeXXuxKW,0,1,1
28,Fri Jan 15 23:48:56 +0000 2021,NASA drops an unsettling new video https://t.co/9wwtrbk52c via @Mashable,0,0,0
29,Fri Jan 15 23:48:49 +0000 2021,Our moral imperative to act on climate change — and 3 steps we can take (English voiceover) (His Holiness Pope Francis | Countdown) https://t.co/PZe1e2vRy3 via @TEDTalks,0,0,1
30,Fri Jan 15 23:48:15 +0000 2021,⚡️ “Tigers attack as Indians are forced into the forest by climate change” by @ReutersScience https://t.co/WgpWToRdaK,0,0,0
31,Fri Jan 15 23:48:13 +0000 2021,"Global warming apparently fucked up the snow in the Cascades for the next few weeks. I'm now a climate fascist. Preserve the slopes, burn the heretics.",0,0,0
32,Fri Jan 15 23:47:33 +0000 2021,Imagine if people were just as afraid of climate change as they are *checks notes* a living wage https://t.co/mwPPBsiN9H,2,1,7
33,Fri Jan 15 23:47:16 +0000 2021,People still don’t believe global warming is real?,0,1,2
34,Fri Jan 15 23:47:03 +0000 2021,"What? 😮#Trudeau brands himself as Canada’s #ClimateChange Churchill 

https://t.co/x0P9EyMqWJ",0,0,0
35,Fri Jan 15 23:47:00 +0000 2021,Mad hot today in the 80s. Tell me global warming isn’t real.,1,0,1
36,Fri Jan 15 23:46:57 +0000 2021,It’s 90 in the winter... but ya know global warming isn’t real tho,0,0,0
37,Fri Jan 15 23:43:57 +0000 2021,the only thing actually better about the 20th century was the weather. now global warming makes it all shit,0,0,0
38,Fri Jan 15 23:43:21 +0000 2021,Climate Change Case Raises Recusal Questions Involving Justice Barrett https://t.co/2slQb2ALPg,0,0,0
39,Fri Jan 15 23:43:10 +0000 2021,Tigers attack as Indians are forced into the forest by climate change  https://t.co/BtKAMfINKv,0,0,0
40,Fri Jan 15 23:42:14 +0000 2021,"OLD PEOPLE &amp; CLIMATE CHANGE DENIERS: Midwestern winters are SO long and frigid!

PEOPLE UNDER 30, WHO HAVE ONLY EVER KNOWN 6 WEEKS OF ANTHROPOCENE SLUSH: Uh, okay

OLDS: You'll get frostbite in 60 seconds!

U30: You get more PTO days than are below freezing each year",0,0,1
41,Fri Jan 15 23:41:41 +0000 2021,4.2 billion years ago Mars died because of climate change. Nobody was there. Just enlightening the climate change peeps,2,0,5
42,Fri Jan 15 23:41:27 +0000 2021,"Only when it's convenient. Truth is, #Australia's government are the ones pushing wildlife to the brink of extinction via habitat destruction, overhunting, pesticide use, pollution, climate change,etc. #BoycottAustralia https://t.co/bsuD3RmB2c",0,1,0
43,Fri Jan 15 23:41:26 +0000 2021,"None of these predictions occurred during #Trump admin..

Women made ‘handmaidens’

LGBQT+ empowerment weaker

Abortion abolished 

Christian theology forced on population &amp;

There’s not a single SCIENCE-BASED, Credible publishing that says Climate-Change ⬆️ during #Trump tenure",0,0,0
44,Fri Jan 15 23:41:25 +0000 2021,"If you like trees, like kids, like native birds and hate climate change you might want to donate to help build this micro Forrest in Watson. I did. Well done @RichieMerzian and all the others driving this #auspol #climate @StartSomeGood https://t.co/9VER4EGJUX",2,18,49
45,Fri Jan 15 23:40:19 +0000 2021,"The people who incited the insurrectionists, and those calling for unity, are the same people who will soon be telling us that we need more evidence about climate change before we take action.",1,0,11
46,Fri Jan 15 23:40:16 +0000 2021,Pepsi targets net-zero emissions by 2040 https://t.co/LaNv9Nvzh4,0,0,0
47,Fri Jan 15 23:40:06 +0000 2021,"This weather reminds me of when trump came to visit California during the wildfires.... of course trump is above science, climate change is a hoax.... so happy he’s out https://t.co/0sPpUSwwYa",0,0,0
48,Fri Jan 15 23:39:47 +0000 2021,"I've been enjoying Kim Stanley Robinson's newie. At first I felt it was little too didactic in taking the reader through the looming potential disasters of climate change, but is balanced by the innovative solutions in the face of imminent extinction. Set not too far from now. https://t.co/QDt146XxGC",0,0,0
49,Fri Jan 15 23:39:03 +0000 2021,"Urban greening is an important tool for addressing climate change, but did you know it also improves our mental and physical health?

#zerobreastcancer
#urbangreening https://t.co/pXPuCHURd2",0,1,0
50,Fri Jan 15 23:38:35 +0000 2021,Here are #investing options for the new year — with climate change in mind https://t.co/Hg7Hg7pRx2,0,0,0
51,Fri Jan 15 23:38:19 +0000 2021,Super excited to announce we'll get to work w/ Harvard's @GSDoffice &amp; @charleswaldheim on an architecture class this semester! SHADING SUNSET will use our @gettyresearch https://t.co/Yu39lAeSaj project as the basis for #machinelearning about LA architecture and global warming https://t.co/5kxXrsJMHt,0,1,7
52,Fri Jan 15 23:38:04 +0000 2021,How most Democrats and Republicans feel about climate change https://t.co/OARlmAQK1M via @voxdotcom,0,0,0
53,Fri Jan 15 23:37:56 +0000 2021,"Climate change is something to think about, despite it being 90 in LA in January. Summer has arrived early I suppose.",0,0,1
54,Fri Jan 15 23:37:13 +0000 2021,"Ancient oceans were surprisingly resistant to climate change: UPI https://t.co/xoFIYWVwhR

MORE w/ EcoSearch: https://t.co/chsEUNzCGQ",0,0,0
55,Fri Jan 15 23:37:09 +0000 2021,I hate climate change wtf 😭 https://t.co/J8T23UuYIi,0,0,8
56,Fri Jan 15 23:36:48 +0000 2021,"Everyone who is talking about global warming needs  to see this  video 🤔
https://t.co/P7Qs27FIcb",0,0,1
