,created_at,text,reply_count,retweet_count,favorite_count,topic
0,Fri Jan 01 01:19:57 +0000 2021,"the climate crisis has become my center of gravity. As a working artist mom, there isn’t free time to take on anything new, so I decided to simply put climate in the center of everything I was already doing. Parenting/writing/teaching. Finding new ways to engage+sound the alarm.",0,0,4,
1,Fri Jan 01 01:19:31 +0000 2021,"“Perdue owns a more than 9,000 square-foot mansion with six bathrooms, arched doorways, and a pool on Sea Island, a gated community on St. Simons Island, the wealthiest ZIP code in the state.”

With digs like that I guess I’d be in quarantine, too. 

https://t.co/eXnf3T2dt5",0,0,0,
2,Fri Jan 01 01:18:02 +0000 2021,Find those positives - Global warming reduced a bit! #CNNNYE,0,0,0,
3,Fri Jan 01 01:17:22 +0000 2021,Studying architecture just so i can make affordable housing that can actually withstand the effects of climate change in the next few decades,0,0,2,
4,Fri Jan 01 01:17:09 +0000 2021,chuu starting a youtube channel to bring awareness to climate change... yes i’m deeply in love with her what about it,0,0,0,
5,Fri Jan 01 01:17:05 +0000 2021,"""Some time back, when observed warming leveled off unexpectedly, you may have noticed that they changed “global warming” to “climate change.” Maybe that was so they could be right no matter what happens."" https://t.co/4ExRW2NF7h via @UnionLeader",0,1,1,
6,Fri Jan 01 01:16:20 +0000 2021,I actually believe that if we had tree waifus weebs would actually do something to stop global warming.,0,0,0,
7,Fri Jan 01 01:16:07 +0000 2021,"I’m calling 2020 the year of disclosure—Now that we are talking more about major problems such as climate change, infectious disease, and systemic racism, I think we will begin to take big steps in the right direction in 2021",0,0,2,
8,Fri Jan 01 01:15:43 +0000 2021,climate change is a smogling invention,0,0,0,
9,Fri Jan 01 01:15:09 +0000 2021,"Solar panels are the greatest threat in the USA to the people. Angry Democrats claim mythical ""global warming"" is worse. Fake News never wins!",0,0,0,
10,Fri Jan 01 01:15:00 +0000 2021,"I GET TIRED OF SAYING,GLOBAL WARMING FEAR,IS BULL SHIT- HERE'S AL GORE THE GREATEST CLIMATE SCAMMER OF THE LAST 20 YRS-HE CUD OF BIN A PD/SELF HELP GURU-LOL-IF I SAID THIS IN 2009,U IDIOTS WUD OF CALLED ME OUT-YET NO 1 BUT ME CALLS HIM AN ALARMIST AT BEST+A LIAR AT WORST-WTF!! https://t.co/Uk4f3372d1",0,1,3,
11,Fri Jan 01 01:14:40 +0000 2021,"New to Politics : Climate Change will become the easiest money making , distribution of funds &amp; laundering ever for political corruption world wide.Guilt &amp; fear is a big money maker .... your immoral, dumb, trashy if you don’t want to save the world for your children’s sake .ZCK",1,0,0,
12,Fri Jan 01 01:14:14 +0000 2021,Mitsubishi Heavy to build biggest zero-carbon steel plant #MitsubishiHeavy https://t.co/9YlMaPrE08,0,0,0,
13,Fri Jan 01 01:14:04 +0000 2021,"🎵
The age of Trump, it is exploding
Children kidnapped, cages loading
Folks have time for textin’ but not for voting
Believe in climate change, but do nothing worth noting
And even the flooded cites have bodies floating
1/2",3,1,20,
